"Estimate","Std. Error","z value","Pr(>|z|)","study","N","name"
-1.43178976220603,0.300565314822907,-4.76365598954637,1.90116514790069e-06,"COAD",1,"X9116"
-1.34238490084505,0.286218306975113,-4.69007351427654,2.73106909282309e-06,"COAD",1,"X8721"
-1.18238269876566,0.273465398697392,-4.32370129602409,1.53433009079769e-05,"COAD",1,"X3124"
-1.11451304152591,0.259586696813235,-4.29341355010873,1.75946841665561e-05,"COAD",1,"X2382"
-1.07420558851668,0.25217470356581,-4.25976742840244,2.04639722788991e-05,"COAD",1,"X9637"
-1.17447776085585,0.277071956197574,-4.23889078120325,2.24626901340878e-05,"COAD",1,"X8857"
-1.245891950072,0.294183294829454,-4.2350873484991,2.28462881833113e-05,"COAD",1,"X3027"
0.948073300021531,0.225416212192601,4.20587894189028,2.60069424099362e-05,"COAD",1,"X7545"
-1.04830843407191,0.251100367487352,-4.17485822327484,2.98171689402442e-05,"COAD",1,"X9575"
-1.15447536623857,0.276598961568121,-4.1738239351786,2.99529266260964e-05,"COAD",1,"X7771"
-0.988691656180468,0.237230507738719,-4.16764127685211,3.07767765739784e-05,"COAD",1,"X9370"
-1.16731136146598,0.280504302173821,-4.16147400385548,3.16199997800671e-05,"COAD",1,"X9375"
-1.03817232979928,0.249821569003772,-4.15565531006493,3.24356519402447e-05,"COAD",1,"X7137"
-1.20162501290721,0.289749805724563,-4.14711240237888,3.36694789867254e-05,"COAD",1,"X9837"
-1.10141940595273,0.265822925535977,-4.14343271458603,3.42145488375291e-05,"COAD",1,"X6941"
-0.958906012746932,0.232526667898302,-4.12385392786999,3.72585230442284e-05,"COAD",1,"X4413"
-1.03829832935157,0.252262253271718,-4.11594804964021,3.85591156479277e-05,"COAD",1,"X3569"
-1.14052739028089,0.278328228661121,-4.09777835244134,4.17134412175655e-05,"COAD",1,"X4509"
1.32807861281024,0.325245621466746,4.08330973625736,4.43987823257912e-05,"COAD",1,"X7869"
-0.983471180181854,0.240926951171673,-4.0820305715033,4.46439224076614e-05,"COAD",1,"X9170"
-0.988012124417073,0.242209723350461,-4.07915962559227,4.51987946884055e-05,"COAD",1,"X7789"
-1.11735263233292,0.274065765029082,-4.07695077206871,4.5630148600045e-05,"COAD",1,"X2964"
-1.08035348188633,0.265013851909845,-4.07659250299812,4.57004797510174e-05,"COAD",1,"X5735"
-1.06520859536043,0.262497589163819,-4.0579747751346,4.95001129153656e-05,"COAD",1,"X3218"
-1.05429501376541,0.260398756760614,-4.04877130321567,5.14872256150296e-05,"COAD",1,"X7829"
-1.03545536190163,0.255770510331964,-4.04837665045009,5.15741027350846e-05,"COAD",1,"X5077"
-1.14487316692669,0.283000447351316,-4.04548182747375,5.22156163472926e-05,"COAD",1,"X6414"
-1.3111283148755,0.324376315979335,-4.04199767457445,5.29977583611795e-05,"COAD",1,"X7096"
-1.01941053609957,0.252397920583508,-4.03890227678119,5.37019311369615e-05,"COAD",1,"X5637"
-0.959695800143742,0.238626067945076,-4.02175591463308,5.77659013071089e-05,"COAD",1,"X2650"
-1.00355751563397,0.250276695422143,-4.00979209806677,6.07722326416705e-05,"COAD",1,"X3993"
-0.984353171357224,0.245878637905654,-4.00341070595539,6.24357734415773e-05,"COAD",1,"X6236"
-1.05283075983188,0.263072149028358,-4.00206089363869,6.27931317567401e-05,"COAD",1,"X837"
-0.986819764029905,0.247266861635155,-3.990909891864,6.58202863084321e-05,"COAD",1,"X1912"
-1.0070710536831,0.252643031855774,-3.98614221134746,6.71562700903973e-05,"COAD",1,"X3510"
-1.03487717274851,0.259715884230866,-3.98465105749402,6.75793570075978e-05,"COAD",1,"X5565"
-1.04238067521504,0.261648742198266,-3.98389331612064,6.77953171758121e-05,"COAD",1,"X7937"
-1.01896692472949,0.255778609510434,-3.98378475307147,6.78263116305597e-05,"COAD",1,"X3856"
-0.99611389016795,0.250069323806254,-3.98335099646092,6.79502818174099e-05,"COAD",1,"X1971"
-0.918313844088143,0.230822575450242,-3.9784403336497,6.93688139414231e-05,"COAD",1,"X4595"
-0.958950985056987,0.241193350244165,-3.97585996498751,7.01253830954093e-05,"COAD",1,"X9539"
-0.927267232868324,0.23370486023827,-3.96768484798709,7.25742172934189e-05,"COAD",1,"X6574"
-1.026236109781,0.258741667176458,-3.9662576228247,7.3009947028776e-05,"COAD",1,"X1315"
1.03390273203368,0.260715408903489,3.96563723019687,7.32001225070729e-05,"COAD",1,"X5805"
-0.971380800013842,0.245055584113918,-3.96392028170343,7.37288823284826e-05,"COAD",1,"X5815"
-0.974778212438389,0.246207455254091,-3.95917423147239,7.52093560605788e-05,"COAD",1,"X6718"
-0.987721136198469,0.249763599037198,-3.95462405252803,7.66550908847669e-05,"COAD",1,"X420"
-0.897316425548573,0.227344993495389,-3.94693725932773,7.91572892301275e-05,"COAD",1,"X3938"
-1.00026944911844,0.253568041309842,-3.94477728325466,7.98741806405814e-05,"COAD",1,"X8271"
-1.13258301830595,0.287314422575424,-3.94196367921153,8.08172170270086e-05,"COAD",1,"X6648"
1.09455525824565,0.278533616939114,3.92970611689184,8.50497454375674e-05,"COAD",1,"X2044"
-1.06373799921026,0.270742833025046,-3.92896087894544,8.53137158308185e-05,"COAD",1,"X7150"
-0.962155889290548,0.245464922335191,-3.91972865262064,8.86487214759334e-05,"COAD",1,"X2291"
-1.02089030467823,0.260640178435911,-3.91685698960361,8.97109306358112e-05,"COAD",1,"X5618"
0.990061160540463,0.253846745096481,3.90023185116739,9.61006126645779e-05,"COAD",1,"X4928"
-2.09703446726583,0.53775718758898,-3.89959356316152,9.63542978845816e-05,"COAD",1,"X1363"
1.21409513153884,0.312288722424366,3.8877328714068,0.000101184894681899,"COAD",1,"X4720"
-0.967289112395736,0.248822810531809,-3.88746156483141,0.000101298021260955,"COAD",1,"X7473"
-0.897852401560555,0.231025611457104,-3.88637604245564,0.000101751846563758,"COAD",1,"X1844"
0.923630677608753,0.237914914937478,3.88218905002856,0.000103520346061276,"COAD",1,"X8147"
