"","CpG","Beta","SE","P","FDR","Trait","threshold"
"1","cg00919585",-0.002025675,0.000377268,7.9e-08,0.009951597,"ACETOCHLOR","F005"
"2","cg04108706",0.017024387,0.003093236,3.72e-08,0.00702234,"ACETOCHLOR","F005"
"3","cg07489121",0.026616826,0.005458261,1.08e-06,0.046176936,"ACETOCHLOR","F005"
"4","cg08165462",0.012694364,0.002240665,1.47e-08,0.004452228,"ACETOCHLOR","F005"
"5","cg10252897",0.008450344,0.001555526,5.56e-08,0.008398068,"ACETOCHLOR","F005"
"6","cg10280383",0.001699028,0.000334909,3.91e-07,0.021119454,"ACETOCHLOR","F005"
"7","cg17840355",0.005039178,0.000984668,3.09e-07,0.017979218,"ACETOCHLOR","F005"
"8","cg18677834",0.018418246,0.003536174,1.9e-07,0.014380706,"ACETOCHLOR","F005"
"9","cg18935832",0.007319879,0.001496687,1e-06,0.046176936,"ACETOCHLOR","F005"
"11","cg00004089",-0.000354171,5.09e-05,3.36e-12,3.6e-11,"BMI","F005"
"12","cg00046744",0.000384981,8.63e-05,8.16e-06,1.36e-05,"BMI","F005"
"13","cg00050692",-0.000382079,8.41e-05,5.57e-06,9.59e-06,"BMI","F005"
"14","cg00073460",-0.000747853,0.000187329,6.55e-05,8.9e-05,"BMI","F005"
"15","cg00094412",-0.00046845,9.41e-05,6.5e-07,1.38e-06,"BMI","F005"
"16","cg00108715",0.000406132,8.26e-05,8.76e-07,1.82e-06,"BMI","F005"
"17","cg00134210",-0.00022376,4.17e-05,8.33e-08,2.32e-07,"BMI","F005"
"18","cg00138407",0.000461384,9.19e-05,5.14e-07,1.14e-06,"BMI","F005"
"19","cg00144180",0.000513485,8.93e-05,8.83e-09,3.1e-08,"BMI","F005"
"20","cg00222799",0.000480753,0.00011552,3.16e-05,4.59e-05,"BMI","F005"
"21","cg00233633",-9.25e-05,3.92e-05,0.018168731,0.018844987,"BMI","F005"
"22","cg00238353",0.000684068,0.000113806,1.85e-09,8.12e-09,"BMI","F005"
"23","cg00244001",-0.00029201,6e-05,1.13e-06,2.31e-06,"BMI","F005"
"24","cg00259097",0.000341019,6.6e-05,2.38e-07,5.8e-07,"BMI","F005"
"25","cg00277397",-0.00051134,0.000102202,5.64e-07,1.23e-06,"BMI","F005"
"26","cg00295485",0.00068452,0.000127853,8.61e-08,2.38e-07,"BMI","F005"
"27","cg00328058",0.000342331,9.57e-05,0.000348514,0.000421443,"BMI","F005"
"28","cg00376553",0.000582108,0.000107856,6.77e-08,1.94e-07,"BMI","F005"
"29","cg00407944",0.000196195,5.74e-05,0.000630418,0.00074021,"BMI","F005"
"30","cg00417304",-0.000391475,0.000106445,0.000235339,0.00029104,"BMI","F005"
"31","cg00431050",-0.000382557,7.48e-05,3.12e-07,7.34e-07,"BMI","F005"
