"Estimate","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","N","name","analysis"
1.11720337464801,0.265593218243322,4.20644541316748,2.59418706672642e-05,0.629417969634801,1.67932059646312,"COAD",1,"PICLORAM","GW"
0.835788348504589,0.25499160832555,3.27770923126823,0.00104653137861045,0.361590000426979,1.3671529916662,"COAD",1,"smoking_sm13","GW"
-0.710903884516695,0.246774305692732,-2.88078567386131,0.00396685285414304,-1.2247523381715,-0.249938144871358,"COAD",1,"education","GW"
-0.582576249182746,0.219154022507606,-2.65829594418021,0.00785368942243173,-1.03741556242652,-0.166627833900987,"COAD",1,"MDS","GW"
0.47872811844824,0.202860729776485,2.35988561697333,0.0182805706200094,0.0932633840113523,0.903404946812992,"COAD",1,"HEPTACHLOR","GW"
-0.512483760840534,0.21873857214218,-2.34290530390506,0.0191342388668463,-0.958825202488634,-0.0941028977700239,"COAD",1,"BMI","GW"
-0.475095367720749,0.223439005494721,-2.12628661978167,0.0334794014650195,-0.932463886318179,-0.0483024838642024,"COAD",1,"Obesity","GW"
0.478494281087406,0.232380852624402,2.05909512631317,0.0394851266366819,0.0415956543674597,0.959733008825409,"COAD",1,"METOLACHLOR","GW"
-0.418683958454519,0.207226899358035,-2.02041317875022,0.0433405475609806,-0.849439349398516,-0.0201199341765356,"COAD",1,"MESOTRIONE","GW"
0.28222814120422,0.222764547965995,1.26693472449352,0.205178631145735,-0.14085184966143,0.739041168987278,"COAD",1,"coffee","GW"
0.227390678698247,0.210248099834009,1.08153500021057,0.279459200389365,-0.184006044977599,0.64584918321438,"COAD",1,"ACETOCHLOR","GW"
0.222712487023343,0.211422508830187,1.0534000767261,0.292157669040758,-0.187684546086284,0.64810239433801,"COAD",1,"AHEI","GW"
0.314283080336928,0.429841255814813,0.731160808985561,0.464680935221573,-0.538463030593196,1.17024018785312,"COAD",1,"PCB","GW"
0.110245279728977,0.208080807000588,0.529819550962553,0.596237048485239,-0.292537994177109,0.529952458744528,"COAD",1,"smoking","GW"
-0.0752327415113725,0.203719576544206,-0.369295591457542,0.71190741119514,-0.478054309150379,0.329905222804801,"COAD",1,"Alcohol","GW"
0.0674344899526453,0.210933647019173,0.319695273398064,0.749199343181442,-0.344270533762204,0.488577283479978,"COAD",1,"pm10","GW"
-0.0538869392620418,0.208406174793403,-0.258566903382114,0.795969422254368,-0.461358591104785,0.362809585402899,"COAD",1,"NO2","GW"
0.0332379887578517,0.207523624280076,0.160164843271017,0.872751222831998,-0.376536576618587,0.443566627968488,"COAD",1,"pm2_5","GW"
0.00169753843668814,0.204982518757164,0.00828138149038533,0.993392489092048,-0.397675370036298,0.413271434192683,"COAD",1,"dicamba","GW"
1.05340993023904,0.266946761009535,3.94614239279499,7.94203934502482e-05,0.564841899323518,1.61760256847988,"COAD",1,"PICLORAM","P1E5"
-0.792272990928576,0.237309073178563,-3.33857016218015,0.000842107606997378,-1.28791705880213,-0.350273468853181,"COAD",1,"Obesity","P1E5"
-0.537411495862844,0.22286259404003,-2.41140285644488,0.0158912845914745,-0.99504444237762,-0.113792468320761,"COAD",1,"BMI","P1E5"
-0.404028398916179,0.198648038259733,-2.03389070667746,0.0419626161719507,-0.80298765668983,-0.013496844927018,"COAD",1,"ATRAZINE","P1E5"
0.428265452962832,0.210719369277578,2.03239718508593,0.0421134628404972,0.0183356587255593,0.850419521842056,"COAD",1,"TOXAPHENE","P1E5"
0.411849090381684,0.216709514376395,1.90046612197358,0.0573719767670845,-0.00345962960971646,0.853344567592592,"COAD",1,"AHEI","P1E5"
0.832264581925459,0.442795045256491,1.87957067460718,0.0601666130667797,-0.0168203260742812,1.73980060622939,"COAD",1,"PCB","P1E5"
0.305416356340387,0.190618054755695,1.60224254062304,0.109101986304399,-0.072636789170038,0.692553806639309,"COAD",1,"DDT","P1E5"
0.323173380962232,0.215278914464484,1.50118455291425,0.133307834159163,-0.0920955081701723,0.757752265741666,"COAD",1,"ACETOCHLOR","P1E5"
0.316196728373897,0.215054830297777,1.47030749291273,0.141478492615398,-0.0987895230088053,0.749777935537112,"COAD",1,"MESOTRIONE","P1E5"
0.286703716494616,0.205886480543222,1.39253299069546,0.163761058650702,-0.118894655790421,0.694762295142635,"COAD",1,"CHLORDANE","P1E5"
-0.274732449320395,0.21275220188139,-1.29132599752626,0.196590659468617,-0.70319772152612,0.136475238403084,"COAD",1,"birthweight","P1E5"
0.143609460703729,0.211633724439595,0.678575501536943,0.497406869815593,-0.267788883060041,0.567860348134732,"COAD",1,"LINDANE","P1E5"
-0.134203224555277,0.213774761961964,-0.627778617660936,0.530148975322603,-0.560350352760162,0.283958638625199,"COAD",1,"dicamba","P1E5"
0.125765736038592,0.208844981020971,0.602196593012515,0.547043283273332,-0.277873642941661,0.54757564136446,"COAD",1,"Alcohol","P1E5"
0.105798150879287,0.212104067905074,0.498803025911962,0.617918155658078,-0.30976614704862,0.527541957227213,"COAD",1,"pm10","P1E5"
